AMAZON MAPREDUCE ANALYSIS — FULL RESULTS
Generated: 2026-04-08 17:45:22
═════════════════════════════════════════════════════════════════

═════════════════════════════════════════════════════════════════
  1 · CATEGORY-WISE AVERAGE RATINGS
═════════════════════════════════════════════════════════════════
  Category                                 Avg Rating  Bar
─────────────────────────────────────────────────────────────────
  Health Personal Care                           4.42  ★★★★
  Home Kitchen                                   4.40  ★★★★
  Kitchen Dining                                 4.39  ★★★★
  Tools Home Improvement                         4.38  ★★★★
  Industrial Scientific                          4.38  ★★★★
  Home Storage Organization                      4.34  ★★★★
  Computer Accessories                           4.32  ★★★★
  Sewing, Craft Hobby                            4.31  ★★★★
  Toys Games                                     4.29  ★★★★
  Power Tools Hand Tools                         4.29  ★★★★
  Electronics                                    4.27  ★★★★
  International Food Market                      4.27  ★★★★
  Automotive                                     4.25  ★★★★
  Beauty                                         4.25  ★★★★
  Pet Supplies                                   4.24  ★★★★
  Sports Outdoors                                4.24  ★★★★
  Home Portable Audio                            4.23  ★★★★
  Hardware                                       4.22  ★★★★
  Home Textiles                                  4.21  ★★★★
  Cables Accessories                             4.20  ★★★★
  Hand Tools                                     4.20  ★★★★
  Tableware                                      4.19  ★★★★
  Automotive Replacement Parts                   4.19  ★★★★
  Patio, Lawn Garden                             4.18  ★★★★
  Power Hand Tools                               4.17  ★★★★
  Camera Photo                                   4.17  ★★★★
  Televisions Video                              4.16  ★★★★
  Action Figures, Maquettes Busts                4.14  ★★★★
  Exercise Fitness Equipment                     4.13  ★★★★
  Office Products                                4.13  ★★★★
  Furniture                                      4.13  ★★★★
  Tablet Accessories                             4.11  ★★★★
  Kitchen Utensils Gadgets                       4.10  ★★★★
  Bedding                                        4.09  ★★★★
  Kitchen Storage Organization                   4.09  ★★★★
  Outdoor Gear                                   4.09  ★★★★
  STEM                                           4.09  ★★★★
  Bath Products                                  4.09  ★★★★
  Household Supplies                             4.09  ★★★★
  Bakeware                                       4.08  ★★★★
  Electrical Equipment                           4.07  ★★★★
  Men                                            4.07  ★★★★
  Dog Supplies                                   4.06  ★★★★
  Musical Instruments, Stage Studio              4.06  ★★★★
  Laptop Netbook Computer Accessories            4.06  ★★★★
  Home Décor                                     4.05  ★★★★
  Clothing, Shoes Jewellery                      4.05  ★★★★
  Health Care Products                           4.04  ★★★★
  Small Appliances                               4.04  ★★★★
  Games Accessories                              4.02  ★★★★
  Women                                          4.01  ★★★★
  Building Construction Toys                     4.01  ★★★★
  Building Supplies                              4.00  ★★★★
  Cycling Equipment                              3.99  ★★★
  Grocery                                        3.97  ★★★
  Kitchen Knives Cutlery Accessories             3.97  ★★★
  Outdoor Cooking                                3.95  ★★★
  Paper Plastic Household Supplies               3.94  ★★★
  Hunting Fishing                                3.94  ★★★
  Team Sports                                    3.93  ★★★
  TV Accessories                                 3.92  ★★★
  RV Parts Accessories                           3.91  ★★★
  Stationery Party Supplies                      3.91  ★★★
  Vitamins, Minerals Supplements                 3.90  ★★★
  Large Appliances                               3.89  ★★★
  Kitchen Bath Fixtures                          3.88  ★★★
  Luggage Travel Gear                            3.88  ★★★
  Men's Shoes                                    3.87  ★★★
  Keyboards, Mice Input Devices                  3.87  ★★★
  Boating Watersports                            3.86  ★★★
  Nails, Screws Fasteners                        3.86  ★★★
  Automotive Tools Equipment                     3.86  ★★★
  Camping Hiking Equipment                       3.86  ★★★
  Kitchen Cookware                               3.85  ★★★
  Food Service Equipment Supplies                3.83  ★★★
  Outdoor Power Lawn Equipment                   3.81  ★★★
  Women's Clothing                               3.81  ★★★
  Occupational Health Safety Products            3.81  ★★★
  Garden Structures Germination Equipment        3.80  ★★★
  Action Sports                                  3.80  ★★★
  Arts Crafts Supplies                           3.79  ★★★
  Janitorial Sanitation Supplies                 3.78  ★★★
  Vacuums Floor Care                             3.78  ★★★
  Smart Home                                     3.77  ★★★
  Automotive Exterior Accessories                3.77  ★★★
  Computer Components                            3.76  ★★★
  Golf Equipment                                 3.76  ★★★
  Hair Care                                      3.73  ★★★
  Hobbies                                        3.72  ★★★
  Automotive Interior Accessories                3.71  ★★★
  Men's Clothing                                 3.71  ★★★
  Barware                                        3.70  ★★★
  Commerical Door Products                       3.69  ★★★
  Women's Shoes                                  3.69  ★★★
  Patio Furniture Accessories                    3.69  ★★★
  Motorcycle Accessories Parts                   3.68  ★★★
  Men's Accessories                              3.67  ★★★
  Vehicle Electronics                            3.67  ★★★
  Car Electronics Accessories                    3.65  ★★★
  Data Storage                                   3.65  ★★★
  Printer Accessories                            3.64  ★★★
  Sport Specific Clothing                        3.64  ★★★
  Snow Ice Sports                                3.63  ★★★
  Outdoor Décor                                  3.63  ★★★
  Medical Supplies Equipment                     3.63  ★★★
  Outdoor Play Toys                              3.63  ★★★
  Paint, Body Trim Products                      3.61  ★★★
  Coffee, Tea Espresso                           3.61  ★★★
  Door Hardware Locks                            3.61  ★★★
  Artwork                                        3.60  ★★★
  Skin Care Products                             3.59  ★★★
  Cutting Tools                                  3.57  ★★★
  Cabinet Hardware                               3.57  ★★★
  Fasteners                                      3.56  ★★★
  Farming Urban Agriculture                      3.56  ★★★
  Cat Supplies                                   3.56  ★★★
  Outdoor Lighting Products                      3.54  ★★★
  Nursery Furniture, Bedding Décor               3.50  ★★★
  Dolls Accessories                              3.50  ★★★
  Pools, Hot Tubs Supplies                       3.49  ★★★
  Heating Cooling Air Quality                    3.49  ★★★
  Baby Toddler Toys                              3.48  ★★★
  Oral Hygiene Products                          3.46  ★★★
  Novelty Special Use Clothing                   3.46  ★★★
  Girls                                          3.46  ★★★
  Household Cleaning Tools                       3.44  ★★★
  Hardware Adhesives Sealers                     3.44  ★★★
  Sports Fan Shop                                3.44  ★★★
  Leisure Sports Game Room                       3.43  ★★★
  Toy Vehicles                                   3.41  ★★★
  Automotive Tires Wheels                        3.39  ★★★
